Property : optional getter : optional setter	Label	Section	Editor	User Visible	Read Only	Group	Default	Options	Subsection	min	max	step						
gradientType	Type	Gradients	com.livecode.pi.enum	TRUE	FALSE		No Gradient	"No Gradient,Linear,Radial,Conical,Diamond,Spiral,XY,SqrtXY"										
gradientRamp	Ramp	Gradients	com.livecode.pi.gradientramp	TRUE	FALSE													
gradientFrom	From	Gradients	com.livecode.pi.number	TRUE	FALSE													
gradientTo	To	Gradients	com.livecode.pi.number	TRUE	FALSE													
gradientVia	Via	Gradients	com.livecode.pi.number	TRUE	FALSE													
gradientQuality	Quality	Gradients	com.livecode.pi.enum	TRUE	FALSE		Normal	"Normal,Good"										
gradientRepeat	Repeat	Gradients	com.livecode.pi.integer	TRUE	FALSE		0					1						
gradientMirror	Mirror	Gradients	com.livecode.pi.boolean	TRUE	FALSE		FALSE											
gradientWrap	Wrap	Gradients	com.livecode.pi.boolean	TRUE	FALSE		FALSE											
height	Height	Position	com.livecode.pi.integer	TRUE	FALSE					1		1						
hGrid	Horizontal grid	Table	com.livecode.pi.boolean	TRUE	FALSE													
hilited	Hilited	Basic	com.livecode.pi.boolean	TRUE	FALSE		FALSE											
hiliteBorder	Hilite border	Icons	com.livecode.pi.boolean	TRUE	FALSE													
hiliteColor	Text hilite color	Colors	com.livecode.pi.color	TRUE	FALSE	Hilite fill												
hiliteIcon	Hilite icon	Icons	com.livecode.pi.imageid	TRUE	FALSE		0											
hilitePattern	Text hilite pattern	Colors	com.livecode.pi.pattern	TRUE	FALSE	Hilite fill												
hotspot	Hotspot	Basic	com.livecode.pi.point	TRUE	FALSE													
hotspots	Hotspots	Quicktime	com.livecode.pi.string	TRUE	TRUE													
hoverIcon	Hover icon	Icons	com.livecode.pi.imageid	TRUE	FALSE		0											
hScrollbar	Horizontal scrollbar	Basic	com.livecode.pi.boolean	TRUE	FALSE		FALSE											
icon	Icon	Icons	com.livecode.pi.imageid	TRUE	FALSE		0											
iconGravity	Gravity	Icons	com.livecode.pi.enum	TRUE	FALSE			",left,top,right,bottom,topLeft,topRight,bottomLeft,bottomRight,center,resize"										
iconic	Minimized	Basic	com.livecode.pi.boolean	TRUE	FALSE		FALSE											
id	ID	Basic	com.livecode.pi.imageID	TRUE	FALSE													
ink	Ink	Colors	com.livecode.pi.enum	TRUE	FALSE		srcCopy	"blendClear,blendSrc,blendDst,blendSrcOver,blendDstOver,blendSrcIn,blendDstIn,blendSrcOut,blendDstOut,blendSrcAtop,blendDstAtop,blendXor,blendPlus,blendMultiply,blendScreen,blendOverlay,blendDarken,blendLighten,blendDodge,blendBurn,blendHardLight,blendSoftLight,blendDifference,blendExclusion,srcCopy"										
innerGlow	Inner glow	Effects	com.livecode.pi.graphicEffect	TRUE	FALSE			"popup:effectColor,effectBlendMode,effectFilter,effectSize,effectSpread"										
innerShadow	Inner shadow	Effects	com.livecode.pi.graphicEffect	TRUE	FALSE			"popup:effectColor,effectBlendMode,effectFilter,effectSize,effectSpread,effectDistance,effectAngle"										
kind	Kind	Basic	com.livecode.pi.string	TRUE	TRUE		no_default											
label	Label	Basic	com.livecode.pi.text	TRUE	FALSE													
layer	Layer	Position	com.livecode.pi.integer	TRUE	FALSE		no_default			1		1						
layerMode	Layer mode	Advanced	com.livecode.pi.enum	TRUE	FALSE		Static	"Static,Dynamic"										
left::revIDESetRectProperty	Left	Position	com.livecode.pi.integer	TRUE	FALSE		no_default					1						
lineInc	Scroll distance on arrow click	Basic	com.livecode.pi.number	TRUE	FALSE		512											
lineSize	Line thickness	Basic	com.livecode.pi.number	TRUE	FALSE		1											
linkColor	Link color	Colors	com.livecode.pi.color	TRUE	FALSE													
linkHiliteColor	Link click color	Colors	com.livecode.pi.color	TRUE	FALSE													
linkVisitedColor	Link visited color	Colors	com.livecode.pi.color	TRUE	FALSE													
listBehavior	List behavior	Basic	com.livecode.pi.boolean	TRUE	FALSE													
location	Location	Position	com.livecode.pi.point	TRUE	FALSE		no_default											
lockLoc	Lock size and position	Position	com.livecode.pi.boolean	TRUE	FALSE		FALSE											
lockText	Lock text	Basic	com.livecode.pi.boolean	TRUE	FALSE													
looping	Loop	Basic	com.livecode.pi.boolean	TRUE	FALSE		FALSE											
mainStack	Main stack	Basic	com.livecode.pi.enum	TRUE	FALSE			execute:get ideMainStacks(); sort it										
margins	Margins	Text	com.livecode.pi.string	TRUE	FALSE													
mark	Marked	Basic	com.livecode.pi.boolean	TRUE	FALSE		FALSE											
markerDrawn	Draw shape at vertices	Basic	com.livecode.pi.boolean	TRUE	FALSE		FALSE											
markerFilled	Marker filled	Basic	com.livecode.pi.boolean	TRUE	FALSE		FALSE											
markerLineSize	Marker line thickness	Basic	com.livecode.pi.number	TRUE	FALSE		1											
markerPoints	Marker points	Basic	com.livecode.pi.text	TRUE	FALSE													
maxColumnCount:revIDEGetTableProperty:revIDESetTableProperty	Maximum editable column	Table	com.livecode.pi.number	TRUE	FALSE													
maxHeight	Max height	Position	com.livecode.pi.number	TRUE	FALSE		65535											
maxWidth	Max width	Position	com.livecode.pi.number	TRUE	FALSE		65535											
menuLines	Number of lines to display	Basic	com.livecode.pi.integer	TRUE	FALSE		5			1		1						
menuMode	Menu mode	basic	com.livecode.pi.string	FALSE	FALSE			"cascade,combobox,option,popup,pulldown"										
menuMouseButton	Access with mouse button:	Basic	com.livecode.pi.enum	TRUE	FALSE		1	"1,2,3,0"										
